Measurement from:2019-10-16 12:40:02

Timestamp;CANID;Data [A]
430439.722564;897;1.93359375[ A]
430439.72282;898;3.5009765625[ A]
430439.727684;900;2.3291015625[ A]
430439.727855;899;1.6748046875[ A]
430439.82364;897;1.9580078125[ A]
430439.823811;898;3.5009765625[ A]
430439.828291;899;1.7333984375[ A]
430439.828547;900;2.333984375[ A]
430439.924417;898;3.5205078125[ A]
430439.924716;897;1.953125[ A]
430439.929409;899;1.71875[ A]
430439.929793;900;2.353515625[ A]
430440.026346;898;3.5107421875[ A]
430440.026944;897;1.9482421875[ A]
430440.030314;900;2.314453125[ A]
430440.030741;899;1.7431640625[ A]
430440.127081;897;1.9482421875[ A]
430440.127337;898;3.4814453125[ A]
430440.131091;899;1.7529296875[ A]
430440.131347;900;2.34375[ A]
430440.228029;897;1.9482421875[ A]
430440.228242;898;3.515625[ A]
430440.232082;900;2.333984375[ A]
430440.232636;899;1.69921875[ A]
430440.329275;897;1.9482421875[ A]
430440.329488;898;3.486328125[ A]
430440.333072;899;1.708984375[ A]
430440.333243;900;2.3486328125[ A]
430440.43018;898;3.5302734375[ A]
430440.430607;897;1.9580078125[ A]
430440.434276;899;1.7041015625[ A]
430440.434617;900;2.3291015625[ A]
430440.531042;897;1.9482421875[ A]
430440.531426;898;3.5009765625[ A]
430440.535096;899;1.7333984375[ A]
430440.536034;900;2.36328125[ A]
430440.632148;897;1.953125[ A]
430440.632362;898;3.5107421875[ A]
430440.635988;899;1.7236328125[ A]
430440.63714;900;2.34375[ A]
430440.732968;897;1.9580078125[ A]
430440.733309;898;3.486328125[ A]
430440.736979;899;1.7236328125[ A]
430440.737875;900;2.3388671875[ A]
430440.834812;898;3.525390625[ A]
430440.83511;897;1.9482421875[ A]
430440.838865;899;1.69921875[ A]
430440.839206;900;2.32421875[ A]
